No,Name,Types,LULC,Locality,X,Y,State,District,Year,Source,Evolution of Landslide,Landslide Activity,Soil Texture,Erosion Type,Predominants Soil Constituents,Lithology,Type of Movement,Weathering Grade,Height_m,Width_m,Length_m,Date,Time,Morphology,Vegetation Density,Vegetation Type,Soil Type,Geodynamic Features,Degree of Development,Site Condition,State of Wetness,Source of Water,Area Drainage,Structures at Risk,Corrective Measures,Probable Cause of Landslide
1,Placemark 1,Landslides,Forest,Roadside,762785.2157,494239.0065,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,20.4,21.8,25.1,05/07/2022,15:13:12,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Under construction,Dry,"Rain, Water seeps",Well drained,Roads,Soil nail,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
2,Placemark 10,Landslides,Forest,Roadside,762464.9133,493512.991,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Stabilised,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,12,16.3,17.3,05/07/2022,17:18:01,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Under construction,Dry,"Rain, Water seeps",Well drained,Roads,"Shortcrete, Soil nail, Geogrid protection","Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
3,Placemark 102,Landslides,Forest,Roadside,773239.0404,488402.1107,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Sand",Granite,Translational,VI,0,0,0,13/07/2022,16:42:59,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,None,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
4,Placemark 105,Landslides,Urban,Off Road,772842.1545,487897.6191,Pahang,Cameron Highlands,2022,Field Work (2022),Mature-dormant landslide,Dormant,Unknown,Rill,None,Granite,Translational,VI,0,0,0,13/07/2022,17:01:47,Concave,Moderate,Forest,Residual,"Failures scarp, Erosion",Intermediate,Development,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
5,Placemark 107,Landslides,Urban,Off Road,772514.9078,487923.9868,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Clay loam,Rill,"Clay, Silt",Granite,Translational,IV,0,0,0,13/07/2022,17:09:43,Convex,Moderate,Forest,Residual,"Failures scarp, Erosion",Intermediate,Development,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
6,Placemark 108,Landslides,Forest,Forest Area,773393.8436,488052.9685,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Unknown,Rill,None,Granite,Translational,VI,0,0,0,13/07/2022,17:13:57,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
7,Placemark 11,Landslides,Forest,Roadside,762221.8721,493566.8216,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Sandy loam,Rill,"Sand, Clay",Granite,Translational,IV,6.9,5.1,15.1,05/07/2022,18:13:16,Concave,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Wet,"Rain, Water seeps",None,Roads,"Hydroseeding, Stone pitch wall","Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
8,Placemark 110,Landslides,Urban,Development Area,772290.0836,487830.4789,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Dormant,Unknown,Rill,None,Granite,Translational,VI,0,0,0,13/07/2022,17:24:56,Convex,Sparse,Forest,Residual,"Failures scarp, Erosion",Advance,Development,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
9,Placemark 112,Landslides,Forest,Forest Area,771676.6688,488250.3254,Pahang,Cameron Highlands,2022,Field Work (2022),New landslide,Suspended,Unknown,Rill,None,Granite,Translational,VI,0,0,0,13/07/2022,17:33:01,Convex,Dense,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
10,Placemark 114,Landslides,Urban,Development Area,771128.0716,487816.0454,Pahang,Cameron Highlands,2022,Field Work (2022),Young-dormant landslide,Dormant,Unknown,Rill,None,Granite,Translational,VI,0,0,0,13/07/2022,17:43:23,Concave,Sparse,Forest,Residual,"Failures scarp, Erosion",Advance,Natural,Dry,"Rain, Water seeps",None,Commercial,None,"Steepness of slope, Intense weathering, Human activity, Vibration from the vehicle, Low shear strength, Load at head, Rainfall"
